,season,day,timestamp_feed,description,event_type,parent_description,parent_event_type,type_feed,fragment,timestamp_rng,player_name,type_rng,s0,s1,offset
129,11,115,2021-03-07 19:01:05+00:00,Basilio Mason's baserunning was boosted.,117,"Blessing Won: Wind Sprints, Tacos",60,boost,-1,,,,-1,-1,-1
130,11,115,2021-03-07 19:01:05+00:00,Basilio Fig's baserunning was boosted.,117,"Blessing Won: Wind Sprints, Tacos",60,boost,-1,,,,-1,-1,-1
131,11,115,2021-03-07 19:01:05+00:00,Vito Kravitz's baserunning was boosted.,117,"Blessing Won: Wind Sprints, Tacos",60,boost,-1,,,,-1,-1,-1
132,11,115,2021-03-07 19:01:05+00:00,The Crabs' defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
133,11,115,2021-03-07 19:01:05+00:00,Tot Fox's defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
134,11,115,2021-03-07 19:01:05+00:00,Luis Acevedo's defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
135,11,115,2021-03-07 19:01:05+00:00,Silvaire Roadhouse's defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
136,11,115,2021-03-07 19:01:05+00:00,Baldwin Breadwinner's defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
137,11,115,2021-03-07 19:01:05+00:00,Parker Parra's defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
138,11,115,2021-03-07 19:01:05+00:00,Pedro Davids' defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
139,11,115,2021-03-07 19:01:05+00:00,Evelton McBlase II's defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
140,11,115,2021-03-07 19:01:05+00:00,Forrest Best's defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
141,11,115,2021-03-07 19:01:05+00:00,Kennedy Loser's defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
142,11,115,2021-03-07 19:01:05+00:00,Squid Galvanic's defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
143,11,115,2021-03-07 19:01:05+00:00,Brock Forbes' defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
144,11,115,2021-03-07 19:01:05+00:00,Jacoby Podcast's defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
145,11,115,2021-03-07 19:01:05+00:00,Adalberto Tosser's defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
146,11,115,2021-03-07 19:01:05+00:00,Finn James' defense was boosted.,117,"Blessing Won: The Rack, Crabs",60,boost,-1,,,,-1,-1,-1
147,11,115,2021-03-07 19:01:05+00:00,Kennedy Rodgers' pitching was re-rolled.,119,"Blessing Won: Organ Replacements, Firefighters",60,reroll,-1,,,,-1,-1,-1
148,11,115,2021-03-07 19:01:05+00:00,Agan Harrison's pitching was re-rolled.,119,"Blessing Won: Organ Replacements, Firefighters",60,reroll,-1,,,,-1,-1,-1
149,11,115,2021-03-07 19:01:05+00:00,Agan Harrison's pitching was re-rolled.,119,"Blessing Won: Organ Replacements, Firefighters",60,reroll,-1,,,,-1,-1,-1
150,12,12,2021-03-09 04:12:33+00:00,Kurt Crueller has been hatched from the field of eggs.,137,"Rogue Umpire incinerated Sutton Picklestein!
They're replaced by Kurt Crueller.",54,thwack,-1,,,,-1,-1,-1
151,12,19,2021-03-09 11:15:29+00:00,Alx Keming has been hatched from the field of eggs.,137,"Rogue Umpire incinerated Hotbox Sato!
They're replaced by Alx Keming.",54,thwack,-1,,,,-1,-1,-1
152,12,29,2021-03-09 22:03:16+00:00,Jasper Blather has been hatched from the field of eggs.,137,"Rogue Umpire incinerated Hands Scoresburg!
They're replaced by Jasper Blather.",54,thwack,-1,,,,-1,-1,-1
153,12,42,2021-03-10 11:02:16+00:00,Riley Firewall has been hatched from the field of eggs.,137,"Rogue Umpire incinerated Raúl Leal!
They're replaced by Riley Firewall.",54,thwack,-1,,,,-1,-1,-1
154,12,67,2021-03-11 12:36:23+00:00,Pitching Mach-ne is Partying!,117,Pitching Mach-ne is Partying!,24,party,-1,,,,-1,-1,-1
155,12,70,2021-03-11 15:02:16+00:00,Ephraim Ladd is Partying!,117,Ephraim Ladd is Partying!,24,party,-1,,,,-1,-1,-1
156,12,71,2021-03-11 16:10:08+00:00,Wanda Schenn is Partying!,117,Wanda Schenn is Partying!,24,party,-1,,,,-1,-1,-1
